CalendarYear,CalendarPeriod,CalendarWeek,ServiceGroup4,ProdGrp1,OpJourneys on selDates,OpMiles on selDates,
2016,2016/P04,2016/W16,Inter7City,Off-Peak,"78,390","5,232,378",
2016,2016/P04,2016/W16,Scenic,Off-Peak,"31,564","1,296,841",
2016,2016/P04,2016/W16,West Suburban,Off-Peak,"494,094","5,192,730",
2016,2016/P04,2016/W16,East Suburban,Peak,"66,942","1,264,379",
2016,2016/P04,2016/W16,eXpress,Peak,"31,090","1,088,410",
2016,2016/P04,2016/W16,Inter7City,Peak,"61,101","3,188,370",
2016,2016/P04,2016/W16,Scenic,Peak,"21,779","682,812",
2016,2016/P04,2016/W16,West Suburban,Peak,"279,692","3,530,534",
2016,2016/P04,2016/W17,East Suburban,Commuter,"68,244","1,163,354",
2016,2016/P04,2016/W17,eXpress,Commuter,"30,560","892,896",
2016,2016/P04,2016/W17,Inter7City,Commuter,"27,420","732,869",
2016,2016/P04,2016/W17,Scenic,Commuter,"9,814","177,426",
2016,2016/P04,2016/W17,West Suburban,Commuter,"304,368","3,342,728",
2016,2016/P04,2016/W17,East Suburban,Off-Peak,"69,212","1,371,164",
2016,2016/P04,2016/W17,eXpress,Off-Peak,"44,355","1,650,991",
2016,2016/P04,2016/W17,Inter7City,Off-Peak,"81,157","5,473,590",
2016,2016/P04,2016/W17,Scenic,Off-Peak,"35,053","1,571,987",
2016,2016/P04,2016/W17,West Suburban,Off-Peak,"468,216","5,006,430",
2016,2016/P04,2016/W17,East Suburban,Peak,"68,166","1,285,029",
2016,2016/P04,2016/W17,eXpress,Peak,"29,968","1,042,908",
2016,2016/P04,2016/W17,Inter7City,Peak,"60,949","3,172,026",
2016,2016/P04,2016/W17,Scenic,Peak,"22,445","732,463",
2016,2016/P04,2016/W17,West Suburban,Peak,"280,208","3,532,446",
2016,2016/P05,2016/W18,East Suburban,Commuter,"59,612","1,015,572",
2016,2016/P05,2016/W18,eXpress,Commuter,"26,758","776,608",
2016,2016/P05,2016/W18,Inter7City,Commuter,"24,051","638,069",
2016,2016/P05,2016/W18,Scenic,Commuter,"8,825","160,483",
2016,2016/P05,2016/W18,West Suburban,Commuter,"268,614","2,935,142",
2016,2016/P05,2016/W18,East Suburban,Off-Peak,"77,698","1,539,309",
2016,2016/P05,2016/W18,eXpress,Off-Peak,"49,376","1,843,994",
2016,2016/P05,2016/W18,Inter7City,Off-Peak,"84,847","5,431,076",
2016,2016/P05,2016/W18,Scenic,Off-Peak,"34,955","1,492,083",
2016,2016/P05,2016/W18,West Suburban,Off-Peak,"487,894","5,213,201",
2016,2016/P05,2016/W18,East Suburban,Peak,"61,344","1,159,274",
2016,2016/P05,2016/W18,eXpress,Peak,"27,191","941,309",
2016,2016/P05,2016/W18,Inter7City,Peak,"57,831","3,034,429",
2016,2016/P05,2016/W18,Scenic,Peak,"21,975","764,861",
2016,2016/P05,2016/W18,West Suburban,Peak,"248,072","3,185,783",
2016,2016/P05,2016/W19,East Suburban,Commuter,"67,812","1,162,285",
2016,2016/P05,2016/W19,eXpress,Commuter,"31,382","921,343",
2016,2016/P05,2016/W19,Inter7City,Commuter,"28,006","746,329",
2016,2016/P05,2016/W19,Scenic,Commuter,"10,303","190,663",
2016,2016/P05,2016/W19,West Suburban,Commuter,"304,786","3,349,274",
2016,2016/P05,2016/W19,East Suburban,Off-Peak,"70,720","1,412,154",
2016,2016/P05,2016/W19,eXpress,Off-Peak,"46,747","1,752,526",
2016,2016/P05,2016/W19,Inter7City,Off-Peak,"81,934","5,544,572",
2016,2016/P05,2016/W19,Scenic,Off-Peak,"34,404","1,549,751",
2016,2016/P05,2016/W19,West Suburban,Off-Peak,"487,489","5,376,940",
2016,2016/P05,2016/W19,East Suburban,Peak,"67,427","1,286,354",
2016,2016/P05,2016/W19,eXpress,Peak,"30,434","1,061,412",
2016,2016/P05,2016/W19,Inter7City,Peak,"61,171","3,233,867",
2016,2016/P05,2016/W19,Scenic,Peak,"23,892","850,176",
2016,2016/P05,2016/W19,West Suburban,Peak,"278,076","3,544,676",
2016,2016/P05,2016/W20,East Suburban,Commuter,"69,760","1,203,565",
2016,2016/P05,2016/W20,eXpress,Commuter,"25,851","650,812",
2016,2016/P05,2016/W20,Inter7City,Commuter,"26,013","688,238",
2016,2016/P05,2016/W20,Scenic,Commuter,"9,760","183,759",
2016,2016/P05,2016/W20,West Suburban,Commuter,"308,625","3,527,910",
2016,2016/P05,2016/W20,East Suburban,Off-Peak,"74,645","1,572,255",
2016,2016/P05,2016/W20,eXpress,Off-Peak,"33,119","1,106,658",
2016,2016/P05,2016/W20,Inter7City,Off-Peak,"80,178","5,433,548",
